recipe_id,recipe_name,ingredients,instructions,cuisine,diet,cooking_time_minutes,difficulty,meal_type
R011,Vegetable Upma,"semolina, onion, carrot, peas, green chilli, ginger, mustard seeds, urad dal, chana dal, curry leaves, oil, salt, lemon juice","Dry roast semolina on low heat for 5 minutes until it smells nutty and set aside. Heat oil, splutter mustard seeds, add urad dal and chana dal and fry until golden. Add curry leaves, green chilli, ginger and onion and saute until soft. Add diced carrot and peas with salt and two and a half cups of water per cup of semolina and bring to a rolling boil. Lower the heat and rain in the semolina while stirring continuously to avoid lumps. Cover and steam 3 minutes, then finish with lemon juice.",South Indian,Vegetarian,25,Easy,Breakfast
R012,Poha,"flattened rice, onion, potato, green chilli, curry leaves, mustard seeds, turmeric, peanuts, sugar, salt, lemon juice, coriander leaves","Rinse flattened rice in a colander until just softened, sprinkle with salt, sugar and turmeric and set aside to fluff up. Heat oil, fry peanuts until crunchy and remove. Splutter mustard seeds, add curry leaves, green chilli, diced potato and cook covered until the potato is tender. Add sliced onion and saute until translucent. Fold in the soaked poha gently, cover and steam on low for 3 minutes. Finish with peanuts, lemon juice and coriander.",Indian,Vegan,20,Easy,Breakfast
R013,Idli with Coconut Chutney,"idli rice, urad dal, fenugreek seeds, salt, coconut, roasted chana dal, green chilli, ginger, mustard seeds, curry leaves, oil","Soak idli rice and urad dal with fenugreek separately for 5 hours. Grind urad dal to a light fluffy paste and rice to a slightly coarse batter, mix with salt and ferment 8 to 10 hours until doubled. Pour into greased idli moulds and steam 10 to 12 minutes until a skewer comes out clean. For the chutney blend coconut, roasted chana dal, green chilli and ginger with water and salt, then temper mustard seeds and curry leaves in oil and pour over.",South Indian,Vegan,600,Medium,Breakfast
R014,Sambar,"toor dal, drumstick, pumpkin, brinjal, onion, tomato, tamarind, sambar powder, turmeric, mustard seeds, curry leaves, asafoetida, oil, salt","Pressure cook toor dal with turmeric until soft and mash smooth. Boil the chopped vegetables with tamarind extract, salt and sambar powder until tender, about 12 minutes. Add the mashed dal with enough water to reach a pouring consistency and simmer 10 minutes so the flavours settle. Temper mustard seeds, curry leaves and asafoetida in oil and pour into the sambar. Serve with rice, idli or dosa.",South Indian,Vegan,45,Medium,Lunch
R015,Vegetable Khichdi,"rice, moong dal, carrot, peas, beans, cumin seeds, ginger, turmeric, asafoetida, ghee, salt","Rinse rice and moong dal together until the water runs clear. Heat ghee in a pressure cooker, crackle cumin seeds, add grated ginger and a pinch of asafoetida. Add the diced vegetables and saute 2 minutes. Add the rice, dal, turmeric, salt and four cups of water for each cup of grain mix. Pressure cook 4 whistles and let the pressure release naturally. Stir well to a soft porridge consistency and serve with a spoon of ghee and curd.",Indian,Vegetarian,30,Easy,Dinner
R016,Baingan Bharta,"brinjal, onion, tomatoes, green chilli, ginger, garlic, cumin seeds, coriander powder, red chilli powder, mustard oil, salt, coriander leaves","Rub a large brinjal with oil, slit it and roast directly over an open flame until the skin blisters and the flesh collapses, about 12 minutes, turning often. Cool, peel off the charred skin and mash the smoky flesh. Heat mustard oil, crackle cumin, saute onion until golden, then add ginger, garlic and green chilli. Add chopped tomatoes with coriander and chilli powder and cook until pulpy. Stir in the mashed brinjal with salt and cook 10 minutes on medium heat, stirring often. Finish with coriander leaves.",Indian,Vegan,45,Medium,Dinner
R017,Matar Paneer,"paneer, green peas, onion, tomatoes, ginger, garlic, cashews, cumin seeds, coriander powder, turmeric, garam masala, oil, salt","Blend onion, tomatoes, ginger, garlic and cashews into a smooth paste. Heat oil, crackle cumin seeds and add the paste, cooking on medium heat for 10 minutes until it thickens and darkens. Add turmeric, coriander powder and salt and fry another 2 minutes. Add green peas with a cup of water and simmer 8 minutes until the peas are tender. Add paneer cubes and garam masala, simmer 3 minutes and rest before serving with roti.",Indian,Vegetarian,40,Easy,Dinner
R018,Masala Chai,"tea leaves, milk, water, ginger, green cardamom, cloves, black pepper, sugar","Crush ginger, cardamom, cloves and black pepper coarsely in a mortar. Bring water to a boil with the crushed spices and let them infuse for 3 minutes. Add tea leaves and boil 2 minutes until the colour deepens. Pour in milk and sugar and bring to a boil, lowering the heat each time it rises, repeating three times for a full-bodied brew. Strain into cups and serve immediately.",Indian,Vegetarian,10,Easy,Beverage
R019,Vegetable Fried Rice,"cooked rice, carrot, capsicum, cabbage, spring onion, garlic, soy sauce, vinegar, white pepper, oil, salt","Use rice cooked and cooled at least a few hours ahead so the grains stay separate. Heat oil in a wok until smoking, add chopped garlic and stir for 20 seconds. Add the finely diced vegetables and stir fry on the highest heat for 3 minutes so they stay crunchy. Add the rice and toss constantly, breaking up clumps. Splash soy sauce and vinegar around the edge of the wok, season with white pepper and salt, and finish with spring onion greens.",Chinese,Vegan,20,Easy,Dinner
R020,Hakka Noodles,"noodles, carrot, capsicum, cabbage, spring onion, garlic, soy sauce, vinegar, chilli sauce, black pepper, oil, salt","Boil noodles in salted water until just done, drain, rinse under cold water and toss with a teaspoon of oil. Heat oil in a wok on high, add chopped garlic and stir briefly. Add julienned carrot, capsicum and cabbage and stir fry 3 minutes keeping them crisp. Add soy sauce, vinegar, chilli sauce and pepper, then add the noodles and toss with two forks to coat evenly. Finish with spring onion greens and serve hot.",Chinese,Vegan,25,Easy,Dinner
R021,Margherita Pizza,"pizza dough, canned tomatoes, mozzarella, fresh basil, garlic, olive oil, salt","Bring the dough to room temperature and preheat the oven with a baking tray inside at the highest setting for 30 minutes. Blend canned tomatoes with a clove of garlic, olive oil and salt for an uncooked sauce. Stretch the dough by hand into a thin round leaving a thicker rim. Spread a thin layer of sauce, scatter torn mozzarella and slide onto the hot tray. Bake 8 to 10 minutes until the crust is blistered and the cheese bubbles. Finish with fresh basil and a drizzle of olive oil.",Italian,Vegetarian,40,Medium,Dinner
R022,Pasta Arrabbiata,"pasta, canned tomatoes, garlic, dried red chilli, olive oil, salt, parsley","Boil pasta in generously salted water until one minute short of al dente, reserving a cup of the cooking water. Heat olive oil on low and infuse sliced garlic and crushed dried chilli until the garlic turns pale gold, without browning. Add crushed tomatoes and salt and simmer 12 minutes until thick. Add the drained pasta with a splash of pasta water and toss vigorously for a minute so the sauce clings. Finish with chopped parsley and a drizzle of olive oil.",Italian,Vegan,25,Easy,Dinner
R023,Chickpea Salad Bowl,"chickpeas, cucumber, tomato, red onion, parsley, lemon juice, olive oil, cumin powder, black pepper, salt","Drain and rinse cooked chickpeas thoroughly and pat dry. Dice cucumber, tomato and red onion to a similar small size so every spoonful is balanced. Whisk lemon juice, olive oil, cumin powder, salt and pepper into a dressing. Toss everything with chopped parsley and let the bowl sit 10 minutes so the onion softens and the flavours mingle. Serve chilled as a light lunch or side.",Mediterranean,Vegan,15,Easy,Lunch
R024,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, cumin powder, salt, ice water","Cook soaked chickpeas with a pinch of baking soda until they are very soft and the skins slip off easily. Blend the warm chickpeas with garlic, lemon juice, tahini, cumin and salt. With the blender running, drizzle in ice water a spoon at a time until the hummus turns pale and fluffy. Adjust salt and lemon, then spread in a bowl, make a well with the back of a spoon and pour over olive oil.",Mediterranean,Vegan,30,Easy,Snack
R025,Masala Omelette,"eggs, onion, tomato, green chilli, coriander leaves, turmeric, black pepper, oil, salt","Beat the eggs with salt, pepper and a pinch of turmeric until slightly frothy. Stir in finely chopped onion, tomato, green chilli and coriander. Heat oil in a non stick pan on medium heat and pour in the mixture, tilting to spread evenly. Cook undisturbed for 2 minutes until the base is set and golden, then fold in half and cook another minute. Serve with buttered toast.",Indian,Eggetarian,12,Easy,Breakfast
R026,Butter Chicken,"chicken thighs, curd, tomatoes, onion, ginger, garlic, cashews, butter, cream, kashmiri red chilli powder, garam masala, kasuri methi, salt","Marinate chicken in curd, ginger garlic paste, chilli powder and salt for at least an hour, then grill or pan sear until charred at the edges. Simmer tomatoes, onion, cashews, ginger and garlic in water for 15 minutes and blend to a smooth strained puree. Cook the puree in butter for 10 minutes until it thickens and deepens in colour. Add chilli powder, salt, cream and a little water and simmer 5 minutes. Add the seared chicken, crushed kasuri methi and garam masala and simmer 8 minutes until the sauce coats the pieces.",Indian,Non-Vegetarian,70,Medium,Dinner
R027,Egg Curry,"boiled eggs, onion, tomatoes, ginger, garlic, green chilli, cumin seeds, turmeric, coriander powder, red chilli powder, garam masala, oil, salt, coriander leaves","Halve or prick the boiled eggs and shallow fry them with a pinch of turmeric and salt until lightly golden, then set aside. Heat oil, crackle cumin seeds and brown the chopped onion. Add ginger garlic paste and green chilli, then tomato puree with turmeric, coriander and chilli powder. Cook until the oil separates from the masala. Add two cups of water and simmer 10 minutes, then slide in the eggs and cook 5 minutes more. Finish with garam masala and coriander leaves.",Indian,Eggetarian,35,Easy,Dinner
R028,Tomato Soup,"tomatoes, onion, garlic, carrot, butter, bay leaf, black pepper, sugar, cream, salt","Melt butter and saute chopped onion, garlic and carrot with a bay leaf for 6 minutes until soft but not browned. Add roughly chopped ripe tomatoes, salt and two cups of water and simmer 20 minutes until everything collapses. Remove the bay leaf and blend until smooth, then pass through a sieve for a velvety texture. Return to the pan, adjust with pepper, a pinch of sugar and a little water, and simmer 5 minutes. Swirl in cream just before serving with croutons.",Continental,Vegetarian,35,Easy,Dinner
R029,Vegetable Sandwich,"bread, potato, cucumber, tomato, onion, butter, green chutney, chaat masala, black pepper, salt","Boil and slice a potato, and thinly slice cucumber, tomato and onion. Butter both slices of bread generously to the edges and spread green chutney on one side. Layer the potato first, then cucumber, tomato and onion, seasoning each layer lightly with salt, pepper and chaat masala. Close the sandwich, press gently and either serve fresh or toast in a sandwich press until golden and crisp. Cut diagonally and serve with ketchup.",Indian,Vegetarian,15,Easy,Snack
R030,Suji Halwa,"semolina, ghee, sugar, water, cardamom powder, cashews, raisins, saffron","Heat ghee and fry cashews and raisins until golden, then remove and set aside. Add semolina to the same ghee and roast on low heat for 10 minutes, stirring constantly, until it turns light golden and aromatic. Separately boil water with sugar, cardamom and saffron until the sugar dissolves. Pour the hot syrup into the roasted semolina carefully as it will splutter, stirring continuously to prevent lumps. Cook 4 minutes until the halwa thickens and leaves the sides of the pan, then fold in the fried nuts and rest covered for 5 minutes.",Indian,Vegetarian,25,Easy,Dessert
